,user_id,rec
77,104,"[1082185, 1029743, 844179, 1068719, 843111]"
78,105,"[9469110, 938319, 1080472, 945244, 825365]"
79,106,"[12171656, 1084613, 5569230, 999104, 963971]"
80,108,"[1082185, 979707, 1036347, 8290421, 1025641]"
81,109,"[1082185, 8290421, 1045586, 835098, 1097418]"
82,110,"[1082185, 1012922, 1106523, 845208, 1046957]"
83,111,"[981086, 995358, 1060705, 1106523, 1029743]"
84,112,"[9527159, 5569845, 1029743, 957232, 1068719]"
85,113,"[1082185, 6553237, 1029743, 882308, 6548453]"
86,114,"[945998, 7025094, 1107973, 10150194, 5568489]"
87,115,"[840890, 910473, 1070782, 994223, 913671]"
88,116,"[1106523, 1104343, 1019637, 976199, 872137]"
89,117,"[1082185, 1128240, 1013807, 1068719, 940947]"
90,118,"[13381584, 1082185, 901470, 898867, 5591083]"
91,119,"[1098844, 1100972, 1071342, 847241, 932340]"
92,121,"[1106523, 1082185, 5592931, 845208, 901062]"
93,122,"[1086119, 912704, 849100, 940947, 1105917]"
94,123,"[1081177, 1082185, 1029743, 883068, 890610]"
95,124,"[1037840, 870547, 1082185, 1126899, 1060705]"
96,125,"[1053282, 834117, 1043751, 844179, 1082185]"
97,127,"[1082185, 1044078, 1106523, 1068719, 839243]"
98,128,"[1082185, 857006, 1029743, 5590965, 878285]"
99,131,"[827667, 1075214, 1082185, 6979545, 990797]"
100,132,"[1082185, 993638, 1126899, 854852, 1106523]"
101,133,"[1082185, 834491, 866540, 869728, 852572]"
102,135,"[1082185, 919534, 883202, 1059347, 1029743]"
103,136,"[865511, 7442008, 1106523, 8090521, 1029685]"
104,138,"[1098844, 8090533, 1051516, 1044759, 8019977]"
105,139,"[860501, 1021324, 1032512, 968695, 9673830]"
106,142,"[997011, 969941, 1082212, 13877192, 990797]"
107,143,"[1090884, 871756, 1130858, 12949590, 1029743]"
108,144,"[829138, 925862, 1029743, 899624, 1068719]"
109,145,"[10282425, 1029743, 1106523, 961979, 910473]"
110,147,"[12946257, 834117, 1106523, 1138487, 1044724]"
111,148,"[1069312, 824931, 1003487, 12262992, 9677236]"
112,149,"[1082185, 844179, 850925, 899624, 841220]"
113,151,"[1029743, 1082185, 916122, 1106523, 1070820]"
114,152,"[1101175, 882308, 942778, 1037332, 1108094]"
115,153,"[13381584, 1135044, 897954, 1103808, 1029743]"
116,155,"[1067749, 889509, 12648296, 1029743, 965766]"
117,156,"[837644, 1065061, 1074754, 899624, 1029743]"
118,157,"[1098844, 949294, 1003487, 857540, 838186]"
119,158,"[841220, 1104343, 12731714, 1128240, 1082185]"
120,159,"[1082185, 1131344, 846823, 912280, 940766]"
121,160,"[833598, 858439, 12987975, 933835, 865456]"
122,161,"[1082185, 882247, 7166865, 5591083, 865528]"
123,162,"[1082185, 858439, 979707, 13115501, 7139529]"
124,164,"[1106523, 917427, 5569230, 833940, 1100972]"
125,165,"[1082185, 899624, 8065410, 1079987, 8090556]"
126,166,"[1029743, 880888, 1052294, 844179, 1082185]"
127,167,"[956672, 833724, 888543, 948953, 12949590]"
128,171,"[851819, 979707, 5567502, 6551861, 1029743]"
129,172,"[829722, 891632, 13158064, 5569230, 990453]"
130,175,"[870614, 995478, 1104343, 1029743, 1106523]"
131,177,"[1029743, 986912, 1137344, 866211, 1056212]"
132,178,"[1114811, 1116376, 1110031, 841220, 943169]"
133,180,"[5570595, 5569303, 1082185, 1029743, 1038663]"
134,182,"[849018, 898466, 939900, 1104343, 9835606]"
135,183,"[12757316, 9653714, 1082185, 8090440, 1029743]"
136,184,"[843464, 844179, 860167, 1010578, 1082185]"
137,185,"[1104898, 870428, 838186, 957232, 1029743]"
138,188,"[1082185, 1106523, 1029743, 986912, 916122]"
139,189,"[13841744, 9707498, 1093413, 986912, 1137775]"
140,191,"[944486, 910032, 1029743, 1082185, 1106523]"
141,192,"[1101858, 1029743, 852572, 1082185, 1056509]"
142,193,"[1030318, 995151, 1029743, 969725, 1015597]"
143,194,"[1051468, 1082185, 942525, 845208, 854496]"
144,195,"[858439, 1082185, 5592931, 1131382, 1044724]"
145,196,"[862535, 1082185, 1021116, 1106523, 1024051]"
146,197,"[12812474, 819308, 1082185, 845622, 917438]"
147,198,"[1082185, 1029743, 899624, 931324, 1016276]"
148,199,"[889509, 820301, 1136524, 1082212, 13189726]"
149,200,"[829950, 1059922, 827999, 1135573, 1108168]"
150,201,"[1082185, 1103476, 1029743, 891505, 1100972]"
151,203,"[1131382, 1082185, 1029743, 1126899, 5569845]"
152,204,"[923670, 1070820, 1082185, 979707, 1106523]"
153,205,"[1082185, 1001266, 1004906, 1106523, 1068719]"
154,207,"[947427, 5592931, 1082185, 12988031, 979707]"
155,208,"[1082185, 850925, 1126786, 979707, 872137]"
156,209,"[1106523, 1044078, 1082185, 1068719, 999858]"
157,210,"[1082185, 910473, 899624, 1051323, 979707]"
158,211,"[1082185, 1136524, 1006878, 907099, 998444]"
159,212,"[1082185, 837865, 888054, 1016782, 858439]"
160,214,"[1082185, 1019643, 916758, 872137, 6633273]"
161,215,"[1082185, 10180324, 8019977, 879699, 1135258]"
162,216,"[943169, 1110031, 1090676, 872342, 974156]"
163,217,"[1082185, 1126045, 895930, 12731714, 872342]"
164,218,"[1082185, 827999, 1029743, 819255, 1053282]"
165,219,"[1082185, 1029743, 913144, 839485, 1024306]"
166,220,"[896085, 1029743, 839419, 1082185, 1093571]"
167,221,"[1082185, 948953, 1041796, 1106523, 1004906]"
168,222,"[1082185, 879699, 6464147, 1032512, 7025204]"
169,223,"[955867, 986912, 993638, 5569327, 1103105]"
170,224,"[850925, 842140, 841220, 1029743, 1104343]"
171,225,"[845622, 1043663, 907631, 1029743, 976199]"
172,226,"[1082185, 14106445, 1029743, 986912, 12301839]"
173,227,"[890955, 871722, 1068719, 1082185, 1106523]"
174,228,"[1139782, 986912, 1082185, 1055504, 890610]"
175,230,"[1067606, 844179, 1124695, 1029743, 964520]"
176,232,"[1106523, 5592931, 913210, 926905, 5591814]"
177,233,"[833940, 13876901, 1033046, 1078652, 7167687]"
178,235,"[1082185, 1068719, 1029743, 1004906, 1030981]"
179,236,"[827999, 1014948, 1075214, 1022254, 1029743]"
180,238,"[948670, 1075368, 1102416, 1082185, 1029743]"
181,239,"[1106523, 1082185, 5591520, 1108168, 835098]"
182,242,"[1082185, 5591520, 1029743, 949142, 1126294]"
183,243,"[1063739, 909714, 1022254, 1131374, 979707]"
184,244,"[1082185, 1106523, 854852, 1029743, 901062]"
185,245,"[1082185, 1029743, 995358, 972416, 9835223]"
186,246,"[7409874, 1029743, 1082185, 986912, 1126899]"
187,247,"[1082185, 9419487, 1044188, 1100972, 5568995]"
188,248,"[1082185, 1029743, 915064, 851569, 6514259]"
189,249,"[1029743, 1068719, 899624, 1004906, 1082185]"
190,250,"[1029743, 1082185, 844179, 1081177, 883932]"
191,251,"[940278, 880377, 967461, 965693, 1012587]"
192,253,"[1082185, 844179, 1044078, 922561, 937292]"
193,254,"[862535, 985866, 1053282, 1106523, 1122568]"
194,255,"[854852, 1082185, 1029743, 1044078, 1126899]"
195,256,"[1082185, 1065538, 903350, 965766, 890909]"
196,257,"[1082185, 849297, 1038663, 918046, 957063]"
197,258,"[1075175, 5981074, 7409874, 1121384, 1106523]"
198,259,"[1087605, 1082185, 1062128, 5568729, 1029743]"
199,260,"[12949855, 912704, 859427, 913210, 1029743]"
200,262,"[8014645, 828106, 5585701, 1124971, 946839]"
201,263,"[1098844, 843111, 979707, 1081177, 5568758]"
202,267,"[901976, 1029743, 1126899, 1082185, 986912]"
203,269,"[1139782, 1082185, 1130858, 1106523, 845208]"
204,271,"[7024871, 7024927, 7025496, 1029743, 1004906]"
205,273,"[1069538, 1077745, 1106523, 6979579, 1029743]"
206,275,"[1082185, 1051516, 9526628, 863447, 825703]"
207,276,"[13115894, 12810391, 1014948, 913671, 904997]"
208,277,"[1012922, 1016276, 922561, 1027835, 1100972]"
209,278,"[883202, 1029743, 1056492, 1106523, 1082185]"
210,279,"[6464165, 919534, 8291322, 1029743, 8069350]"
211,280,"[1097849, 9333734, 13381584, 916122, 12731544]"
212,281,"[1082185, 1070820, 844991, 854852, 940766]"
213,282,"[909129, 930344, 957736, 824796, 909249]"
214,283,"[1082185, 1104343, 865705, 825343, 878715]"
215,285,"[1058214, 1082185, 9296856, 1071342, 6464147]"
216,286,"[1135834, 13003092, 832442, 845208, 1134398]"
217,287,"[1053282, 913144, 882308, 1090676, 1042544]"
218,288,"[1082185, 841309, 867138, 1026118, 1029743]"
219,289,"[1053282, 1082185, 891954, 1042765, 13876901]"
220,290,"[1053282, 1038663, 1138292, 985893, 1068719]"
221,291,"[8090545, 1106523, 1122568, 827919, 911311]"
222,292,"[865705, 1106523, 893221, 1082185, 933835]"
223,293,"[957013, 9553382, 849018, 1081177, 13008334]"
224,294,"[1082185, 1029743, 974177, 865156, 990656]"
225,297,"[1029743, 1113111, 7441102, 883932, 5569135]"
226,300,"[949142, 1134210, 8273950, 8273833, 1029743]"
227,301,"[1082185, 840890, 1128240, 844179, 1101175]"
228,302,"[1029743, 1048507, 1003649, 10344586, 951197]"
229,303,"[1082185, 822225, 7144131, 1044078, 919534]"
230,304,"[1082185, 1130729, 1068719, 1106523, 899624]"
231,305,"[1120275, 922127, 1043730, 932340, 6463874]"
232,306,"[1082185, 844179, 995876, 1106523, 979707]"
233,307,"[1074040, 845208, 961979, 899624, 1019637]"
234,308,"[821741, 5569230, 887102, 961620, 1082185]"
235,311,"[1106523, 7442056, 976199, 989824, 1126899]"
236,314,"[844179, 1106523, 1082185, 820486, 849697]"
237,316,"[819255, 6463742, 859154, 1044078, 845307]"
238,317,"[1029743, 913278, 849870, 825343, 13189726]"
239,318,"[7025203, 1106523, 5569230, 5570408, 1029743]"
240,319,"[844179, 1082185, 916122, 5569230, 858649]"
241,320,"[1128812, 1082185, 916122, 1106523, 986912]"
242,321,"[1082185, 1058214, 1098844, 1104343, 822739]"
243,322,"[845307, 835278, 913026, 862010, 1006342]"
244,324,"[918676, 1098844, 850676, 1087081, 1082185]"
245,325,"[892048, 948953, 976199, 1029743, 862799]"
246,326,"[990256, 1037840, 1013928, 982393, 8090521]"
247,328,"[1082185, 12810422, 930666, 13841744, 1125601]"
248,329,"[1082185, 1139142, 871722, 901062, 979707]"
249,331,"[5569135, 1126786, 1076056, 1082185, 1004906]"
250,332,"[1082185, 1029743, 839243, 1044078, 910109]"
251,334,"[1082185, 819845, 6463717, 938138, 948953]"
252,335,"[6548453, 996259, 1004906, 1082185, 832678]"
253,338,"[5981072, 961756, 1137688, 1068719, 1026118]"
254,339,"[1106523, 1029743, 1082185, 1098248, 1070820]"
255,342,"[12262978, 1104649, 1037965, 1029743, 1000753]"
256,343,"[5568378, 1029743, 1126899, 1106523, 965766]"
257,345,"[1082185, 1068719, 944249, 12301109, 951197]"
258,346,"[1082185, 1008074, 1029743, 837569, 835098]"
259,348,"[1082185, 924352, 825365, 844179, 1085031]"
260,349,"[1092835, 1036347, 844179, 976199, 907099]"
261,350,"[1082185, 986912, 1056509, 7025094, 899624]"
262,351,"[844179, 1082185, 1106523, 898068, 899624]"
263,353,"[1082185, 12811532, 914753, 979707, 871611]"
264,354,"[1082185, 5591170, 13512017, 5564303, 982955]"
265,356,"[834117, 1041796, 1106523, 901062, 1126899]"
266,357,"[1082185, 981677, 1138443, 1126899, 983584]"
267,358,"[1082185, 844179, 1106523, 5569230, 858373]"
268,360,"[9487606, 5568378, 1079228, 5569327, 965766]"
269,361,"[844179, 1106523, 1082185, 999858, 883932]"
270,362,"[824796, 12731714, 1126045, 849003, 986912]"
271,365,"[955275, 1082185, 949784, 943169, 953561]"
272,367,"[1082185, 823721, 10204556, 1029743, 944938]"
273,368,"[1082185, 971922, 883003, 1126899, 1029743]"
274,371,"[1082185, 1029743, 916122, 866211, 992529]"
275,374,"[1082185, 835098, 860248, 1029743, 5569471]"
276,375,"[6464165, 862799, 965766, 8090537, 1022097]"
277,376,"[844179, 930666, 1060673, 1029743, 1044078]"
278,377,"[1082185, 1029743, 899624, 1026235, 1094924]"
279,378,"[1082185, 916990, 12301100, 899624, 916122]"
280,380,"[1082185, 844179, 871756, 899624, 1106523]"
281,381,"[834117, 1081177, 5569230, 1026118, 1075368]"
282,382,"[961979, 1029743, 1106523, 1082185, 999250]"
283,384,"[1029743, 1082185, 1034176, 1065538, 1042942]"
284,385,"[1082185, 1008074, 969725, 1034955, 878715]"
285,386,"[1082185, 909714, 1119761, 1083787, 1048507]"
286,387,"[1071302, 1082185, 851819, 1004475, 1126899]"
287,388,"[1103476, 904359, 849274, 1118033, 854042]"
288,389,"[1082185, 12810391, 825365, 839419, 1106523]"
289,390,"[894439, 5569230, 1126045, 888543, 945909]"
290,392,"[1082185, 1029743, 13876901, 12987975, 842140]"
291,393,"[899624, 1068719, 992529, 882190, 1029743]"
292,394,"[9677949, 1082185, 865026, 1081177, 1107973]"
293,395,"[986912, 945909, 1082185, 1106523, 1126899]"
294,396,"[880377, 830245, 947326, 1082185, 1135573]"
295,397,"[1108994, 892573, 894439, 1029743, 1120928]"
296,398,"[5981072, 1075979, 947798, 1037840, 1029743]"
297,400,"[1082185, 1029743, 932340, 844179, 888092]"
298,401,"[1082185, 856060, 1013531, 1104343, 939636]"
299,402,"[968695, 853448, 9527184, 825994, 819978]"
300,403,"[944534, 880150, 863447, 1082185, 1126899]"
301,404,"[1092588, 902094, 979707, 918676, 1033142]"
302,405,"[986912, 1065061, 899624, 845208, 891516]"
303,406,"[862010, 1082185, 957951, 1042616, 1106523]"
304,408,"[1082185, 936792, 857006, 858439, 10282425]"
305,409,"[1082185, 1079987, 979707, 8090513, 1014948]"
306,410,"[1082185, 887325, 882489, 12810389, 969866]"
307,411,"[1082185, 5569376, 843450, 995502, 929768]"
308,412,"[9837076, 1100972, 839243, 12428436, 945909]"
309,413,"[1098844, 1082185, 1106523, 5569230, 13008334]"
310,414,"[826597, 1082185, 1007512, 12301839, 844179]"
311,415,"[864893, 1029743, 1106523, 883003, 1082185]"
312,417,"[1082185, 6464165, 863030, 911614, 1029743]"
313,418,"[1098844, 829001, 843450, 1135834, 826597]"
314,419,"[6534077, 5569230, 957232, 1070820, 986912]"
315,421,"[835619, 1029743, 827919, 1136524, 13841744]"
316,424,"[1082185, 844179, 841220, 1010185, 963339]"
317,425,"[842769, 995502, 1021116, 957013, 871756]"
318,426,"[1098844, 1082185, 858649, 7442056, 1098248]"
319,427,"[825343, 5569845, 1082185, 1106523, 1029743]"
320,430,"[1082185, 1070845, 986912, 834826, 829852]"
321,431,"[1070820, 1082185, 834117, 1029743, 10198378]"
322,432,"[947798, 1128240, 936753, 1130375, 1044078]"
323,433,"[5565202, 849003, 1082185, 1106523, 1109192]"
324,434,"[829950, 1058214, 1082185, 960791, 1044078]"
325,435,"[8090537, 909714, 1117514, 1082185, 916122]"
326,436,"[934948, 845208, 1133254, 922127, 1029743]"
327,437,"[1082185, 10282425, 1038663, 999858, 5565356]"
328,438,"[1082185, 854716, 1053282, 5981072, 1136486]"
329,439,"[1082185, 1033142, 883932, 972191, 7155863]"
330,441,"[834382, 1082185, 844697, 8293385, 6533681]"
331,442,"[1101502, 887503, 5981267, 986912, 979707]"
332,443,"[9396705, 1090676, 6463717, 1056509, 8014645]"
333,445,"[1136732, 9526572, 898867, 1137507, 6514160]"
334,447,"[845208, 1082185, 1029743, 1022254, 916122]"
335,448,"[13115894, 1120928, 1046957, 1004475, 12301100]"
336,449,"[854852, 1060408, 1137344, 1029743, 866211]"
337,450,"[1104343, 7025204, 863762, 998206, 916122]"
338,451,"[1082185, 916122, 1009770, 835618, 1008547]"
339,454,"[899624, 1098844, 916122, 1068719, 1106523]"
340,456,"[8090513, 901916, 1059902, 824193, 967461]"
341,457,"[979707, 969866, 1029743, 7155863, 1042942]"
342,458,"[12810391, 918598, 926905, 6979545, 901776]"
343,459,"[863762, 979707, 885290, 901062, 1082185]"
344,460,"[1082185, 1029743, 916122, 844179, 845208]"
345,461,"[918684, 1050851, 897954, 1004906, 1082185]"
346,462,"[1045586, 1082185, 12731714, 871756, 10180324]"
347,463,"[823775, 891516, 825343, 1117514, 1082185]"
348,464,"[1067795, 1104343, 1082185, 1029743, 9419528]"
349,466,"[12384775, 944137, 859426, 1131344, 1101706]"
350,467,"[1082185, 860248, 1024306, 999858, 1106523]"
351,468,"[1036495, 6979579, 1082185, 9676866, 866540]"
352,469,"[1082185, 6391134, 834303, 1109615, 6548453]"
353,470,"[871633, 1119784, 1126899, 1076769, 979707]"
354,473,"[1108168, 1035207, 1056509, 990656, 939636]"
355,474,"[896085, 819308, 1106523, 844179, 827999]"
356,475,"[1120275, 1030981, 1006483, 1075368, 5568729]"
357,476,"[1082185, 1022254, 1106523, 1027168, 916122]"
358,479,"[992529, 835618, 1131438, 865456, 1004906]"
359,480,"[1082185, 13876901, 868683, 1051516, 1127831]"
360,481,"[922561, 895930, 1013407, 1018740, 979707]"
361,483,"[1106523, 10198378, 5981074, 882489, 1082185]"
362,484,"[1104898, 901916, 849018, 843898, 984575]"
363,485,"[1082185, 878285, 819255, 1020404, 904129]"
364,486,"[12949590, 1029743, 1106523, 1132771, 845208]"
365,487,"[904236, 1126899, 1082185, 899624, 995965]"
366,489,"[1010259, 1082185, 986912, 1056509, 1055504]"
367,490,"[1082185, 1029743, 5592931, 858649, 872137]"
368,491,"[5981072, 1064213, 12352201, 6533936, 1055504]"
369,493,"[1029743, 936229, 839243, 898068, 1082185]"
370,495,"[12810391, 835619, 5592931, 1117358, 1138487]"
371,496,"[852014, 836445, 5570408, 823990, 1106523]"
372,497,"[942778, 1072968, 1082185, 954673, 852856]"
373,498,"[9553382, 1106523, 1126899, 976199, 1082185]"
374,501,"[922561, 878222, 8090537, 932949, 1082185]"
375,502,"[1137507, 1136732, 1026118, 6514160, 12949590]"
376,503,"[1082185, 1127716, 863632, 1075505, 841016]"
377,505,"[983267, 12648296, 883003, 1106523, 1029743]"
378,506,"[1139493, 1126899, 1106523, 1029743, 12301839]"
379,507,"[827999, 960791, 1014948, 956902, 1106523]"
380,510,"[1082185, 820321, 999563, 844179, 909714]"
381,511,"[12301100, 1029743, 1128240, 1056509, 887325]"
382,513,"[854716, 5569471, 865026, 898121, 12810422]"
383,514,"[1126786, 1097849, 1082185, 1127328, 923169]"
384,515,"[8090546, 830245, 899624, 5590613, 985893]"
385,517,"[1045586, 930666, 878715, 1137688, 995628]"
386,518,"[1082185, 845208, 1090676, 995876, 10344586]"
387,519,"[888586, 1029743, 1126899, 979707, 1070820]"
388,520,"[8090545, 834117, 903350, 909714, 871756]"
389,521,"[1056212, 1106523, 866211, 1137344, 1029743]"
390,523,"[1082185, 844179, 1106523, 884686, 898121]"
391,524,"[1106523, 1082185, 1126899, 1044078, 1068719]"
392,525,"[995151, 1010185, 1029743, 1106523, 1082185]"
393,526,"[1082185, 834117, 835278, 835098, 859426]"
394,527,"[6514259, 912704, 1082185, 901205, 5567582]"
395,528,"[1139782, 907099, 1070820, 866871, 1048257]"
396,530,"[919535, 849697, 1117514, 7139529, 979707]"
397,534,"[1097661, 994223, 1124695, 904833, 13189726]"
398,536,"[1051211, 1106523, 1029743, 1082185, 1126899]"
399,537,"[1004436, 1116635, 827919, 1134210, 1029743]"
400,538,"[1082185, 1098844, 12263492, 1121603, 909714]"
401,539,"[1082185, 5592931, 848029, 862799, 1029743]"
402,540,"[1082185, 842769, 841220, 866540, 841016]"
403,541,"[845622, 5588161, 1116005, 913278, 995965]"
404,542,"[1106523, 999858, 1068719, 1082185, 835619]"
405,543,"[1134296, 996955, 826597, 845774, 1046827]"
406,544,"[1137507, 1136732, 1070820, 1026118, 883003]"
407,545,"[873044, 922127, 956902, 1040807, 1037863]"
408,548,"[1082185, 1098435, 970202, 854852, 1101706]"
409,551,"[835300, 1104343, 1056933, 919681, 1130375]"
410,553,"[1115358, 1029743, 1135834, 847066, 1046957]"
411,554,"[1110031, 873474, 1082185, 1034886, 824180]"
412,557,"[1082185, 857503, 916122, 1004906, 1068719]"
413,558,"[953539, 929768, 1106523, 12384953, 999858]"
414,560,"[1082185, 843464, 1029743, 835098, 1106523]"
415,561,"[1082185, 938138, 958647, 970202, 1053924]"
416,562,"[901470, 1100972, 1053016, 1082185, 1074333]"
417,564,"[6514160, 1137694, 1105488, 989824, 1027168]"
418,567,"[844179, 1106523, 986912, 930666, 12811532]"
419,568,"[5570595, 5569303, 985893, 5591083, 1082185]"
420,569,"[6391080, 6553237, 12428017, 921406, 8293439]"
421,573,"[1082185, 1029743, 1004906, 1106523, 1044078]"
422,574,"[1082185, 1029743, 942778, 978906, 831063]"
423,575,"[1082185, 996444, 916122, 923789, 1106523]"
424,577,"[1029743, 1072968, 1090676, 1082185, 888092]"
425,578,"[829950, 868415, 833724, 847207, 8090521]"
426,579,"[5592931, 12949590, 948298, 1082185, 1029743]"
427,580,"[1118946, 1100972, 940947, 1106271, 1106523]"
428,581,"[834158, 1105917, 904812, 7441498, 909268]"
429,582,"[1021324, 1126294, 1098844, 5591520, 1080853]"
430,583,"[996444, 943169, 1094190, 843898, 7144131]"
431,585,"[1070820, 1126899, 1029743, 1082185, 1041796]"
432,586,"[1082185, 1029743, 12810422, 996009, 1110695]"
433,587,"[859426, 1138487, 849297, 885290, 945662]"
434,588,"[1106523, 6034857, 12517450, 1082185, 844179]"
435,590,"[942525, 6463729, 1075175, 916122, 9835223]"
436,591,"[1065017, 933067, 1120275, 985699, 1106523]"
437,592,"[1092937, 1027168, 1029743, 1082185, 979707]"
438,593,"[984575, 1082185, 5592931, 1106523, 853998]"
439,594,"[1082185, 832513, 845622, 945662, 1029743]"
440,595,"[13115894, 865992, 1082185, 1076769, 1106523]"
441,596,"[858649, 847241, 1025581, 1104649, 8090545]"
442,597,"[1082185, 860248, 1068719, 899624, 1045586]"
443,598,"[850925, 9553382, 854716, 883616, 836445]"
444,600,"[1053282, 1021324, 858514, 938138, 837304]"
445,601,"[833940, 829291, 1021715, 1128812, 9832469]"
446,602,"[1067606, 7441102, 908283, 1021116, 833940]"
447,603,"[1126899, 1029743, 1082185, 1070820, 1004906]"
448,604,"[887661, 6979545, 12349795, 1082185, 914577]"
449,605,"[947427, 1054402, 9296856, 936741, 1045586]"
450,606,"[1121603, 999563, 1014509, 1094924, 1029743]"
451,608,"[832513, 972235, 1082185, 9655528, 1106523]"
452,609,"[8090537, 1106523, 1082185, 1029743, 1038985]"
453,611,"[851569, 1127716, 981660, 1089954, 13213240]"
454,612,"[995916, 1103476, 1138292, 1029743, 5592931]"
455,614,"[1029743, 1098844, 1067695, 1082185, 827667]"
456,615,"[1098844, 971922, 9835223, 976199, 883003]"
457,617,"[9546982, 979707, 14106445, 951412, 1126899]"
458,618,"[1082185, 1106523, 891505, 9521679, 947798]"
459,621,"[872342, 13506200, 1000002, 844179, 1082185]"
460,622,"[1068451, 1038663, 1034176, 986912, 1106523]"
461,623,"[5981072, 916122, 1068719, 1082185, 899624]"
462,624,"[1021116, 972931, 1044078, 910473, 835619]"
463,625,"[1128812, 944486, 856252, 7442056, 933835]"
